Words,Features,# of words in apple,# of unique words in all documents,Condition prob of given word in apple
definitely,3,5206,2844,0.000496894
check,8,5206,2844,0.001118012
usage,1,5206,2844,0.000248447
huge,3,5206,2844,0.000496894
podcast,3,5206,2844,0.000496894
drop,3,5206,2844,0.000496894
ball,3,5206,2844,0.000496894
perhap,1,5206,2844,0.000248447
star,1,5206,2844,0.000248447
war,2,5206,2844,0.000372671
brain,2,5206,2844,0.000372671
password,1,5206,2844,0.000248447
protect,1,5206,2844,0.000248447
quickly,1,5206,2844,0.000248447
see,2,5206,2844,0.000372671
bar,1,5206,2844,0.000248447
return,4,5206,2844,0.000621118
anyway,1,5206,2844,0.000248447
start,3,5206,2844,0.000496894
knew,1,5206,2844,0.000248447
pink,1,5206,2844,0.000248447
hold,11,5206,2844,0.001490683
hindi,1,5206,2844,0.000248447
cheer,1,5206,2844,0.000248447
indian,1,5206,2844,0.000248447
language,1,5206,2844,0.000248447
warn,1,5206,2844,0.000248447
spontaneously,2,5206,2844,0.000372671
loose,2,5206,2844,0.000372671
might,2,5206,2844,0.000372671
fault,4,5206,2844,0.000621118
hopefully,3,5206,2844,0.000496894
figure,3,5206,2844,0.000496894
copy,3,5206,2844,0.000496894
hell,7,5206,2844,0.000993789
unhappy,2,5206,2844,0.000372671
change,7,5206,2844,0.000993789
input,2,5206,2844,0.000372671
number,2,5206,2844,0.000372671
handl,2,5206,2844,0.000372671
blue,3,5206,2844,0.000496894
minute,7,5206,2844,0.000993789
dupe,1,5206,2844,0.000248447
disappointment,2,5206,2844,0.000372671
inventor,1,5206,2844,0.000248447
excit,1,5206,2844,0.000248447
tragic,1,5206,2844,0.000248447
impression,1,5206,2844,0.000248447
dissent,1,5206,2844,0.000248447
multiple,1,5206,2844,0.000248447
connect,8,5206,2844,0.001118012
server,5,5206,2844,0.000745342
exercise,1,5206,2844,0.000248447
rename,2,5206,2844,0.000372671
bottleneck,1,5206,2844,0.000248447
chance,1,5206,2844,0.000248447
headphone,1,5206,2844,0.000248447
blast,1,5206,2844,0.000248447
ear,1,5206,2844,0.000248447
quite,1,5206,2844,0.000248447
obnoxiou,1,5206,2844,0.000248447
cloudy,1,5206,2844,0.000248447
techy,1,5206,2844,0.000248447
process,1,5206,2844,0.000248447
command,2,5206,2844,0.000372671
design,8,5206,2844,0.001118012
appropriately,2,5206,2844,0.000372671
project,3,5206,2844,0.000496894
resource,2,5206,2844,0.000372671
reliable,0,5206,2844,0.000124224
spoke,0,5206,2844,0.000124224
blare,1,5206,2844,0.000248447
direct,1,5206,2844,0.000248447
wrong,1,5206,2844,0.000248447
suspect,1,5206,2844,0.000248447
perfectly,1,5206,2844,0.000248447
ail,0,5206,2844,0.000124224
stink,0,5206,2844,0.000124224
inform,1,5206,2844,0.000248447
migrate,1,5206,2844,0.000248447
many,6,5206,2844,0.000869565
complaint,1,5206,2844,0.000248447
image,2,5206,2844,0.000372671
rape,1,5206,2844,0.000248447
small,1,5206,2844,0.000248447
realise,1,5206,2844,0.000248447
base,2,5206,2844,0.000372671
petty,1,5206,2844,0.000248447
original,1,5206,2844,0.000248447
location,3,5206,2844,0.000496894
domain,1,5206,2844,0.000248447
empty,1,5206,2844,0.000248447
skin,1,5206,2844,0.000248447
represent,1,5206,2844,0.000248447
tear,1,5206,2844,0.000248447
thunderbolt,1,5206,2844,0.000248447
try,8,5206,2844,0.001118012
throat,1,5206,2844,0.000248447
slower,1,5206,2844,0.000248447
nexu,1,5206,2844,0.000248447
force,2,5206,2844,0.000372671
stuff,1,5206,2844,0.000248447
upset,1,5206,2844,0.000248447
inconvenienc,1,5206,2844,0.000248447
finance,2,5206,2844,0.000372671
greedy,1,5206,2844,0.000248447
bastard,1,5206,2844,0.000248447
santa,2,5206,2844,0.000372671
jolly,1,5206,2844,0.000248447
white,1,5206,2844,0.000248447
spend,2,5206,2844,0.000372671
recover,2,5206,2844,0.000372671
immobile,1,5206,2844,0.000248447
ponder,1,5206,2844,0.000248447
difficulti,1,5206,2844,0.000248447
serv,1,5206,2844,0.000248447
sydney,2,5206,2844,0.000372671
train,1,5206,2844,0.000248447
extend,1,5206,2844,0.000248447
clock,3,5206,2844,0.000496894
tire,2,5206,2844,0.000372671
figur,2,5206,2844,0.000372671
test,1,5206,2844,0.000248447
frozen,1,5206,2844,0.000248447
perpetual,1,5206,2844,0.000248447
run,2,5206,2844,0.000372671
dodgy,1,5206,2844,0.000248447
hire,2,5206,2844,0.000372671
staff,0,5206,2844,0.000124224
took,3,5206,2844,0.000496894
told,4,5206,2844,0.000621118
needless,1,5206,2844,0.000248447
hotel,1,5206,2844,0.000248447
relax,0,5206,2844,0.000124224
overall,0,5206,2844,0.000124224
however,1,5206,2844,0.000248447
home,8,5206,2844,0.001118012
online,3,5206,2844,0.000496894
surely,2,5206,2844,0.000372671
cause,2,5206,2844,0.000372671
dilation,1,5206,2844,0.000248447
suburb,1,5206,2844,0.000248447
pin,1,5206,2844,0.000248447
state,2,5206,2844,0.000372671
clarence,0,5206,2844,0.000124224
thoma,1,5206,2844,0.000248447
toss,1,5206,2844,0.000248447
decade,1,5206,2844,0.000248447
workflow,1,5206,2844,0.000248447
standard,1,5206,2844,0.000248447
receipt,1,5206,2844,0.000248447
print,1,5206,2844,0.000248447
playlist,3,5206,2844,0.000496894
bummer,0,5206,2844,0.000124224
Yahoo,2,5206,2844,0.000372671
fantasy,1,5206,2844,0.000248447
football,1,5206,2844,0.000248447
crash,2,5206,2844,0.000372671
nansen,3,5206,2844,0.000496894
clean,2,5206,2844,0.000372671
duplicate,2,5206,2844,0.000372671
magically,1,5206,2844,0.000248447
reappear,1,5206,2844,0.000248447
key,1,5206,2844,0.000248447
often,4,5206,2844,0.000621118
mine,2,5206,2844,0.000372671
gone,4,5206,2844,0.000621118
sister,1,5206,2844,0.000248447
family,3,5206,2844,0.000496894
sloppy,1,5206,2844,0.000248447
known,1,5206,2844,0.000248447
protection,1,5206,2844,0.000248447
laptop,2,5206,2844,0.000372671
cancer,2,5206,2844,0.000372671
maybe,3,5206,2844,0.000496894
wireless,3,5206,2844,0.000496894
worri,1,5206,2844,0.000248447
say,6,5206,2844,0.000869565
toledo,1,5206,2844,0.000248447
equipment,1,5206,2844,0.000248447
broke,1,5206,2844,0.000248447
guess,3,5206,2844,0.000496894
tri,2,5206,2844,0.000372671
anymore,2,5206,2844,0.000372671
durable,1,5206,2844,0.000248447
able,1,5206,2844,0.000248447
newsstand,7,5206,2844,0.000993789
serve,1,5206,2844,0.000248447
purpose,1,5206,2844,0.000248447
easier,2,5206,2844,0.000372671
fruit,2,5206,2844,0.000372671
compar,1,5206,2844,0.000248447
google,23,5206,2844,0.002981366
crowd,1,5206,2844,0.000248447
agree,2,5206,2844,0.000372671
meant,1,5206,2844,0.000248447
buy,4,5206,2844,0.000621118
internet,3,5206,2844,0.000496894
confus,1,5206,2844,0.000248447
consider,7,5206,2844,0.000993789
plu,2,5206,2844,0.000372671
stable,1,5206,2844,0.000248447
reach,1,5206,2844,0.000248447
use,1,5206,2844,0.000248447
completely,1,5206,2844,0.000248447
warm,1,5206,2844,0.000248447
sometime,1,5206,2844,0.000248447
wall,1,5206,2844,0.000248447
remind,2,5206,2844,0.000372671
rest,1,5206,2844,0.000248447
brick,2,5206,2844,0.000372671
install,4,5206,2844,0.000621118
former,1,5206,2844,0.000248447
owner,2,5206,2844,0.000372671
baby,11,5206,2844,0.001490683
delet,1,5206,2844,0.000248447
tiger,2,5206,2844,0.000372671
wood,1,5206,2844,0.000248447
impossible,1,5206,2844,0.000248447
retrieve,1,5206,2844,0.000248447
overbear,1,5206,2844,0.000248447
polici,1,5206,2844,0.000248447
disaster,0,5206,2844,0.000124224
su,1,5206,2844,0.000248447
insurance,1,5206,2844,0.000248447
manag,1,5206,2844,0.000248447
beautiful,4,5206,2844,0.000621118
one,3,5206,2844,0.000496894
arrogant,2,5206,2844,0.000372671
inept,2,5206,2844,0.000372671
combo,2,5206,2844,0.000372671
fade,1,5206,2844,0.000248447
black,3,5206,2844,0.000496894
begin,1,5206,2844,0.000248447
vibrate,2,5206,2844,0.000372671
continuously,1,5206,2844,0.000248447
reboot,1,5206,2844,0.000248447
lame,0,5206,2844,0.000124224
roll,4,5206,2844,0.000621118
equal,1,5206,2844,0.000248447
credit,2,5206,2844,0.000372671
redeem,1,5206,2844,0.000248447
fair,1,5206,2844,0.000248447
less,3,5206,2844,0.000496894
improve,2,5206,2844,0.000372671
monday,1,5206,2844,0.000248447
access,2,5206,2844,0.000372671
premise,1,5206,2844,0.000248447
outlook,1,5206,2844,0.000248447
thunderbird,1,5206,2844,0.000248447
chrome,1,5206,2844,0.000248447
visual,1,5206,2844,0.000248447
merchandis,1,5206,2844,0.000248447
elegance,1,5206,2844,0.000248447
sequence,1,5206,2844,0.000248447
terminal,1,5206,2844,0.000248447
person,4,5206,2844,0.000621118
nonstop,1,5206,2844,0.000248447
mute,1,5206,2844,0.000248447
randomly,1,5206,2844,0.000248447
activate,1,5206,2844,0.000248447
cant,1,5206,2844,0.000248447
occur,1,5206,2844,0.000248447
folk,4,5206,2844,0.000621118
cut,1,5206,2844,0.000248447
manage,3,5206,2844,0.000496894
subscription,2,5206,2844,0.000372671
solution,1,5206,2844,0.000248447
promis,2,5206,2844,0.000372671
similar,2,5206,2844,0.000372671
bell,1,5206,2844,0.000248447
monopolistic,1,5206,2844,0.000248447
forget,1,5206,2844,0.000248447
bloody,1,5206,2844,0.000248447
stump,1,5206,2844,0.000248447
catastrophically,1,5206,2844,0.000248447
canada,1,5206,2844,0.000248447
direction,1,5206,2844,0.000248447
exclusive,1,5206,2844,0.000248447
john,1,5206,2844,0.000248447
jean,1,5206,2844,0.000248447
french,2,5206,2844,0.000372671
report,4,5206,2844,0.000621118
theft,1,5206,2844,0.000248447
bode,1,5206,2844,0.000248447
night,2,5206,2844,0.000372671
charger,1,5206,2844,0.000248447
houston,0,5206,2844,0.000124224
together,1,5206,2844,0.000248447
ford,1,5206,2844,0.000248447
focu,1,5206,2844,0.000248447
movi,1,5206,2844,0.000248447
jihad,1,5206,2844,0.000248447
adobe,1,5206,2844,0.000248447
record,4,5206,2844,0.000621118
quarter,3,5206,2844,0.000496894
bunch,2,5206,2844,0.000372671
professional,2,5206,2844,0.000372671
guesser,2,5206,2844,0.000372671
analyst,2,5206,2844,0.000372671
releas,1,5206,2844,0.000248447
possible,1,5206,2844,0.000248447
latter,2,5206,2844,0.000372671
spec,1,5206,2844,0.000248447
price,2,5206,2844,0.000372671
takeaway,2,5206,2844,0.000372671
earn,3,5206,2844,0.000496894
stay,5,5206,2844,0.000745342
competitive,2,5206,2844,0.000372671
headline,2,5206,2844,0.000372671
lower,1,5206,2844,0.000248447
pamper,10,5206,2844,0.00136646
memori,10,5206,2844,0.00136646
expand,1,5206,2844,0.000248447
countri,2,5206,2844,0.000372671
december,1,5206,2844,0.000248447
coincidence,1,5206,2844,0.000248447
virtual,1,5206,2844,0.000248447
assistant,1,5206,2844,0.000248447
robot,1,5206,2844,0.000248447
result,1,5206,2844,0.000248447
depend,1,5206,2844,0.000248447
increas,1,5206,2844,0.000248447
revenue,1,5206,2844,0.000248447
recession,4,5206,2844,0.000621118
rather,1,5206,2844,0.000248447
friend,4,5206,2844,0.000621118
choose,1,5206,2844,0.000248447
profile,2,5206,2844,0.000372671
amazon,22,5206,2844,0.002857143
log,1,5206,2844,0.000248447
troublemaker,1,5206,2844,0.000248447
struggl,1,5206,2844,0.000248447
blow,1,5206,2844,0.000248447
mind,1,5206,2844,0.000248447
gizmo,1,5206,2844,0.000248447
shut,1,5206,2844,0.000248447
wednesday,1,5206,2844,0.000248447
memorial,3,5206,2844,0.000496894
cranial,1,5206,2844,0.000248447
insertion,1,5206,2844,0.000248447
implant,0,5206,2844,0.000124224
official,2,5206,2844,0.000372671
seven,1,5206,2844,0.000248447
rule,2,5206,2844,0.000372671
weekly,1,5206,2844,0.000248447
twit,1,5206,2844,0.000248447
Young,1,5206,2844,0.000248447
foolish,2,5206,2844,0.000372671
ownership,1,5206,2844,0.000248447
resilience,1,5206,2844,0.000248447
smell,1,5206,2844,0.000248447
lawsuit,1,5206,2844,0.000248447
morn,1,5206,2844,0.000248447
remote,1,5206,2844,0.000248447
keynote,2,5206,2844,0.000372671
presentation,1,5206,2844,0.000248447
nobody,1,5206,2844,0.000248447
pith,1,5206,2844,0.000248447
navigate,1,5206,2844,0.000248447
voicemail,2,5206,2844,0.000372671
sincerely,2,5206,2844,0.000372671
household,2,5206,2844,0.000372671
mini,2,5206,2844,0.000372671
airport,3,5206,2844,0.000496894
usable,2,5206,2844,0.000372671
shari,1,5206,2844,0.000248447
explor,1,5206,2844,0.000248447
speak,1,5206,2844,0.000248447
symbol,1,5206,2844,0.000248447
relate,1,5206,2844,0.000248447
nostalgia,2,5206,2844,0.000372671
contract,4,5206,2844,0.000621118
factory,2,5206,2844,0.000372671
holder,7,5206,2844,0.000993789
spot,7,5206,2844,0.000993789
setup,5,5206,2844,0.000745342
nike,1,5206,2844,0.000248447
dedicate,1,5206,2844,0.000248447
memory,1,5206,2844,0.000248447
brilliant,0,5206,2844,0.000124224
evolution,0,5206,2844,0.000124224
inanimate,1,5206,2844,0.000248447
object,1,5206,2844,0.000248447
notic,0,5206,2844,0.000124224
tweet,12,5206,2844,0.001614907
closet,1,5206,2844,0.000248447
generation,1,5206,2844,0.000248447
contend,1,5206,2844,0.000248447
utility,1,5206,2844,0.000248447
balk,1,5206,2844,0.000248447
acquisition,1,5206,2844,0.000248447
billion,2,5206,2844,0.000372671
battl,1,5206,2844,0.000248447
consumer,1,5206,2844,0.000248447
thought,1,5206,2844,0.000248447
unique,1,5206,2844,0.000248447
wonder,3,5206,2844,0.000496894
tablet,1,5206,2844,0.000248447
battle,3,5206,2844,0.000496894
community,4,5206,2844,0.000621118
unconventional,1,5206,2844,0.000248447
leadership,1,5206,2844,0.000248447
secret,1,5206,2844,0.000248447
entire,1,5206,2844,0.000248447
giant,1,5206,2844,0.000248447
attend,0,5206,2844,0.000124224
donate,1,5206,2844,0.000248447
pancreatic,1,5206,2844,0.000248447
research,1,5206,2844,0.000248447
plank,1,5206,2844,0.000248447
daily,1,5206,2844,0.000248447
tripl,1,5206,2844,0.000248447
came,2,5206,2844,0.000372671
duplication,1,5206,2844,0.000248447
import,1,5206,2844,0.000248447
categorize,1,5206,2844,0.000248447
broken,2,5206,2844,0.000372671
place,2,5206,2844,0.000372671
section,1,5206,2844,0.000248447
let,1,5206,2844,0.000248447
fine,2,5206,2844,0.000372671
straight,1,5206,2844,0.000248447
poop,2,5206,2844,0.000372671
sarcasm,1,5206,2844,0.000248447
built-in,1,5206,2844,0.000248447
helpful,1,5206,2844,0.000248447
spell,0,5206,2844,0.000124224
document,1,5206,2844,0.000248447
finger,3,5206,2844,0.000496894
cross,1,5206,2844,0.000248447
left,3,5206,2844,0.000496894
nugget,1,5206,2844,0.000248447
behind,1,5206,2844,0.000248447
october,1,5206,2844,0.000248447
weird,1,5206,2844,0.000248447
verge,2,5206,2844,0.000372671
karaoke,1,5206,2844,0.000248447
american,1,5206,2844,0.000248447
define,1,5206,2844,0.000248447
disagree,1,5206,2844,0.000248447
hungry,1,5206,2844,0.000248447
founder,2,5206,2844,0.000372671
found,2,5206,2844,0.000372671
sink,1,5206,2844,0.000248447
alto,1,5206,2844,0.000248447
downtown,1,5206,2844,0.000248447
dude,1,5206,2844,0.000248447
fattest,1,5206,2844,0.000248447
hook,1,5206,2844,0.000248447
memo,1,5206,2844,0.000248447
scrub,1,5206,2844,0.000248447
journalist,1,5206,2844,0.000248447
babi,1,5206,2844,0.000248447
poll,2,5206,2844,0.000372671
ban,3,5206,2844,0.000496894
buzz,2,5206,2844,0.000372671
trip,2,5206,2844,0.000372671
colleague,1,5206,2844,0.000248447
overboard,1,5206,2844,0.000248447
misread,1,5206,2844,0.000248447
Yelp,1,5206,2844,0.000248447
review,1,5206,2844,0.000248447
thai,1,5206,2844,0.000248447
financial,1,5206,2844,0.000248447
purely,1,5206,2844,0.000248447
shift,1,5206,2844,0.000248447
sling,1,5206,2844,0.000248447
spontaneou,1,5206,2844,0.000248447
danc,1,5206,2844,0.000248447
outfit,1,5206,2844,0.000248447
girl,0,5206,2844,0.000124224
part,1,5206,2844,0.000248447
imagine,2,5206,2844,0.000372671
map,1,5206,2844,0.000248447
graphic,1,5206,2844,0.000248447
website,2,5206,2844,0.000372671
court,2,5206,2844,0.000372671
style,1,5206,2844,0.000248447
dumb,2,5206,2844,0.000372671
mortar,1,5206,2844,0.000248447
london,1,5206,2844,0.000248447
fit,1,5206,2844,0.000248447
mirror,1,5206,2844,0.000248447
school,1,5206,2844,0.000248447
couple,1,5206,2844,0.000248447
kid,1,5206,2844,0.000248447
hardware,2,5206,2844,0.000372671
promise,2,5206,2844,0.000372671
freak,1,5206,2844,0.000248447
past,1,5206,2844,0.000248447
away,0,5206,2844,0.000124224
follow,1,5206,2844,0.000248447
growth,2,5206,2844,0.000372671
area,2,5206,2844,0.000372671
msg,1,5206,2844,0.000248447
tomorrow,1,5206,2844,0.000248447
reserve,1,5206,2844,0.000248447
imminent,1,5206,2844,0.000248447
sold,12,5206,2844,0.001614907
overwhelm,1,5206,2844,0.000248447
reaction,1,5206,2844,0.000248447
death,3,5206,2844,0.000496894
telegraph,1,5206,2844,0.000248447
insert,1,5206,2844,0.000248447
all-time,1,5206,2844,0.000248447
high,1,5206,2844,0.000248447
hang,2,5206,2844,0.000372671
tacoma,2,5206,2844,0.000372671
beatle,2,5206,2844,0.000372671
front,2,5206,2844,0.000372671
shirt,1,5206,2844,0.000248447
reunion,1,5206,2844,0.000248447
tighten,1,5206,2844,0.000248447
pro,1,5206,2844,0.000248447
jacob,1,5206,2844,0.000248447
notify,2,5206,2844,0.000372671
clown,2,5206,2844,0.000372671
spin,1,5206,2844,0.000248447
wheel,1,5206,2844,0.000248447
reinvent,1,5206,2844,0.000248447
lookup,1,5206,2844,0.000248447
easiest,0,5206,2844,0.000124224
brady,1,5206,2844,0.000248447
surpris,1,5206,2844,0.000248447
mark,2,5206,2844,0.000372671
comparison,2,5206,2844,0.000372671
segregate,1,5206,2844,0.000248447
internode,1,5206,2844,0.000248447
piracy,1,5206,2844,0.000248447
mainly,1,5206,2844,0.000248447
platform,1,5206,2844,0.000248447
obscure,1,5206,2844,0.000248447
infamou,1,5206,2844,0.000248447
hall,1,5206,2844,0.000248447
pass,2,5206,2844,0.000372671
nookie,1,5206,2844,0.000248447
joel,1,5206,2844,0.000248447
circumstance,1,5206,2844,0.000248447
suffer,1,5206,2844,0.000248447
period,2,5206,2844,0.000372671
goodwill,1,5206,2844,0.000248447
paul,2,5206,2844,0.000372671
chat,1,5206,2844,0.000248447
advisor,1,5206,2844,0.000248447
tribute,2,5206,2844,0.000372671
faulty,1,5206,2844,0.000248447
gain,1,5206,2844,0.000248447
advertis,1,5206,2844,0.000248447
balloon,1,5206,2844,0.000248447
respect,2,5206,2844,0.000372671
alternative,1,5206,2844,0.000248447
india,1,5206,2844,0.000248447
squad,1,5206,2844,0.000248447
peep,1,5206,2844,0.000248447
algorithm,1,5206,2844,0.000248447
shrewd,1,5206,2844,0.000248447
root,1,5206,2844,0.000248447
horse,1,5206,2844,0.000248447
flower,0,5206,2844,0.000124224
shower,1,5206,2844,0.000248447
beg,1,5206,2844,0.000248447
valuable,1,5206,2844,0.000248447
analysi,1,5206,2844,0.000248447
trend,1,5206,2844,0.000248447
profit,2,5206,2844,0.000372671
proud,1,5206,2844,0.000248447
predict,2,5206,2844,0.000372671
stage,1,5206,2844,0.000248447
september,1,5206,2844,0.000248447
head,0,5206,2844,0.000124224
detail,2,5206,2844,0.000372671
auto,2,5206,2844,0.000372671
renewal,2,5206,2844,0.000372671
settle,1,5206,2844,0.000248447
content,2,5206,2844,0.000372671
coffer,1,5206,2844,0.000248447
hit,1,5206,2844,0.000248447
smart,1,5206,2844,0.000248447
engage,1,5206,2844,0.000248447
partner,2,5206,2844,0.000372671
social,1,5206,2844,0.000248447
activity,1,5206,2844,0.000248447
messag,1,5206,2844,0.000248447
kinda,2,5206,2844,0.000372671
relevant,1,5206,2844,0.000248447
junkie,1,5206,2844,0.000248447
buri,1,5206,2844,0.000248447
ability,1,5206,2844,0.000248447
inconvenient,1,5206,2844,0.000248447
cofounder,1,5206,2844,0.000248447
stood,1,5206,2844,0.000248447
provide,2,5206,2844,0.000372671
chase,1,5206,2844,0.000248447
cream,1,5206,2844,0.000248447
sandwich,1,5206,2844,0.000248447
Yesss,0,5206,2844,0.000124224
situation,1,5206,2844,0.000248447
gulp,0,5206,2844,0.000124224
pack,2,5206,2844,0.000372671
session,2,5206,2844,0.000372671
indicator,2,5206,2844,0.000372671
management,2,5206,2844,0.000372671
entrepreneur,1,5206,2844,0.000248447
startup,1,5206,2844,0.000248447
bangla,1,5206,2844,0.000248447
bengali,1,5206,2844,0.000248447
galaxy,2,5206,2844,0.000372671
globally,0,5206,2844,0.000124224
traffic,1,5206,2844,0.000248447
gift,1,5206,2844,0.000248447
opinion,1,5206,2844,0.000248447
careful,1,5206,2844,0.000248447
chip,1,5206,2844,0.000248447
guarantee,1,5206,2844,0.000248447
failure,1,5206,2844,0.000248447
principal,4,5206,2844,0.000621118
global,4,5206,2844,0.000621118
player,4,5206,2844,0.000621118
active,4,5206,2844,0.000621118
kobo,4,5206,2844,0.000621118
underplay,2,5206,2844,0.000372671
invisible,1,5206,2844,0.000248447
hospital,1,5206,2844,0.000248447
single,2,5206,2844,0.000372671
mourn,1,5206,2844,0.000248447
dock,1,5206,2844,0.000248447
scroll,1,5206,2844,0.000248447
title,1,5206,2844,0.000248447
font,1,5206,2844,0.000248447
across,1,5206,2844,0.000248447
main,1,5206,2844,0.000248447
wayne,0,5206,2844,0.000124224
leav,3,5206,2844,0.000496894
correct,1,5206,2844,0.000248447
child,1,5206,2844,0.000248447
poorly,1,5206,2844,0.000248447
painless,1,5206,2844,0.000248447
choice,1,5206,2844,0.000248447
form,1,5206,2844,0.000248447
component,4,5206,2844,0.000621118
continue,3,5206,2844,0.000496894
bite,3,5206,2844,0.000496894
upcom,1,5206,2844,0.000248447
afro-american,2,5206,2844,0.000372671
emoticon,2,5206,2844,0.000372671
angry,4,5206,2844,0.000621118
omission,1,5206,2844,0.000248447
advanc,1,5206,2844,0.000248447
printer,1,5206,2844,0.000248447
mighty,1,5206,2844,0.000248447
alcohol,1,5206,2844,0.000248447
act,1,5206,2844,0.000248447
timeline,1,5206,2844,0.000248447
history,0,5206,2844,0.000124224
challeng,1,5206,2844,0.000248447
possibly,1,5206,2844,0.000248447
accessori,1,5206,2844,0.000248447
policy,1,5206,2844,0.000248447
intellectual,1,5206,2844,0.000248447
property,1,5206,2844,0.000248447
infringement,1,5206,2844,0.000248447
claim,1,5206,2844,0.000248447
unauthorize,1,5206,2844,0.000248447
likely,1,5206,2844,0.000248447
suit,2,5206,2844,0.000372671
accus,1,5206,2844,0.000248447
roar,1,5206,2844,0.000248447
unveil,1,5206,2844,0.000248447
placement,1,5206,2844,0.000248447
effort,1,5206,2844,0.000248447
Yield,1,5206,2844,0.000248447
stock,1,5206,2844,0.000248447
promot,1,5206,2844,0.000248447
magazine,2,5206,2844,0.000372671
add,1,5206,2844,0.000248447
escort,2,5206,2844,0.000372671
legal,2,5206,2844,0.000372671
discovery,1,5206,2844,0.000248447
public,1,5206,2844,0.000248447
leopard,1,5206,2844,0.000248447
functionality,1,5206,2844,0.000248447
identity,1,5206,2844,0.000248447
logo,1,5206,2844,0.000248447
revis,1,5206,2844,0.000248447
doubt,1,5206,2844,0.000248447
enough,1,5206,2844,0.000248447
cope,1,5206,2844,0.000248447
defraud,1,5206,2844,0.000248447
win,0,5206,2844,0.000124224
salute,1,5206,2844,0.000248447
dog,1,5206,2844,0.000248447
earlier,1,5206,2844,0.000248447
upstair,1,5206,2844,0.000248447
soho,1,5206,2844,0.000248447
sudden,1,5206,2844,0.000248447
sprung,1,5206,2844,0.000248447
attention,1,5206,2844,0.000248447
digital,0,5206,2844,0.000124224
california,1,5206,2844,0.000248447
joseph,1,5206,2844,0.000248447
patiently,1,5206,2844,0.000248447
end,1,5206,2844,0.000248447
reply,1,5206,2844,0.000248447
insist,1,5206,2844,0.000248447
favorite,1,5206,2844,0.000248447
color,1,5206,2844,0.000248447
average,1,5206,2844,0.000248447
speed,1,5206,2844,0.000248447
swallow,1,5206,2844,0.000248447
python,1,5206,2844,0.000248447
denounce,1,5206,2844,0.000248447
nuance,1,5206,2844,0.000248447
cheap,1,5206,2844,0.000248447
