Words,Features,# of words in microsoft,# of unique words in all documents,Condition prob of given word in microsoft
check,5,3242,2844,0.000985869
usage,0,3242,2844,0.000164312
huge,2,3242,2844,0.000492935
podcast,3,3242,2844,0.000657246
drop,7,3242,2844,0.001314492
ball,0,3242,2844,0.000164312
perhap,0,3242,2844,0.000164312
star,0,3242,2844,0.000164312
war,0,3242,2844,0.000164312
brain,0,3242,2844,0.000164312
password,0,3242,2844,0.000164312
protect,0,3242,2844,0.000164312
quickly,1,3242,2844,0.000328623
see,0,3242,2844,0.000164312
bar,1,3242,2844,0.000328623
return,0,3242,2844,0.000164312
anyway,0,3242,2844,0.000164312
start,13,3242,2844,0.002300361
knew,0,3242,2844,0.000164312
pink,0,3242,2844,0.000164312
hold,0,3242,2844,0.000164312
hindi,1,3242,2844,0.000328623
cheer,0,3242,2844,0.000164312
indian,1,3242,2844,0.000328623
language,1,3242,2844,0.000328623
warn,1,3242,2844,0.000328623
spontaneously,0,3242,2844,0.000164312
loose,0,3242,2844,0.000164312
might,2,3242,2844,0.000492935
fault,0,3242,2844,0.000164312
hopefully,0,3242,2844,0.000164312
figure,0,3242,2844,0.000164312
copy,1,3242,2844,0.000328623
hell,0,3242,2844,0.000164312
unhappy,0,3242,2844,0.000164312
change,3,3242,2844,0.000657246
input,2,3242,2844,0.000492935
number,1,3242,2844,0.000328623
handl,0,3242,2844,0.000164312
blue,4,3242,2844,0.000821558
minute,1,3242,2844,0.000328623
dupe,0,3242,2844,0.000164312
disappointment,0,3242,2844,0.000164312
inventor,0,3242,2844,0.000164312
excit,2,3242,2844,0.000492935
tragic,0,3242,2844,0.000164312
impression,0,3242,2844,0.000164312
dissent,0,3242,2844,0.000164312
multiple,5,3242,2844,0.000985869
connect,0,3242,2844,0.000164312
server,7,3242,2844,0.001314492
exercise,0,3242,2844,0.000164312
rename,0,3242,2844,0.000164312
bottleneck,0,3242,2844,0.000164312
chance,2,3242,2844,0.000492935
headphone,0,3242,2844,0.000164312
blast,0,3242,2844,0.000164312
ear,0,3242,2844,0.000164312
quite,1,3242,2844,0.000328623
obnoxiou,0,3242,2844,0.000164312
cloudy,0,3242,2844,0.000164312
techy,0,3242,2844,0.000164312
process,3,3242,2844,0.000657246
command,1,3242,2844,0.000328623
design,2,3242,2844,0.000492935
appropriately,0,3242,2844,0.000164312
project,9,3242,2844,0.001643115
resource,0,3242,2844,0.000164312
reliable,0,3242,2844,0.000164312
spoke,0,3242,2844,0.000164312
blare,0,3242,2844,0.000164312
direct,1,3242,2844,0.000328623
wrong,0,3242,2844,0.000164312
suspect,0,3242,2844,0.000164312
perfectly,0,3242,2844,0.000164312
ail,0,3242,2844,0.000164312
stink,0,3242,2844,0.000164312
inform,0,3242,2844,0.000164312
migrate,6,3242,2844,0.001150181
many,4,3242,2844,0.000821558
complaint,0,3242,2844,0.000164312
image,4,3242,2844,0.000821558
rape,0,3242,2844,0.000164312
small,1,3242,2844,0.000328623
realise,0,3242,2844,0.000164312
base,0,3242,2844,0.000164312
petty,0,3242,2844,0.000164312
original,0,3242,2844,0.000164312
location,0,3242,2844,0.000164312
domain,0,3242,2844,0.000164312
empty,0,3242,2844,0.000164312
skin,0,3242,2844,0.000164312
represent,0,3242,2844,0.000164312
tear,0,3242,2844,0.000164312
thunderbolt,0,3242,2844,0.000164312
try,1,3242,2844,0.000328623
throat,0,3242,2844,0.000164312
slower,0,3242,2844,0.000164312
nexu,0,3242,2844,0.000164312
force,0,3242,2844,0.000164312
stuff,0,3242,2844,0.000164312
upset,0,3242,2844,0.000164312
inconvenienc,0,3242,2844,0.000164312
finance,2,3242,2844,0.000492935
greedy,0,3242,2844,0.000164312
bastard,0,3242,2844,0.000164312
santa,0,3242,2844,0.000164312
jolly,0,3242,2844,0.000164312
white,4,3242,2844,0.000821558
spend,1,3242,2844,0.000328623
recover,0,3242,2844,0.000164312
immobile,0,3242,2844,0.000164312
ponder,0,3242,2844,0.000164312
difficulti,0,3242,2844,0.000164312
serv,1,3242,2844,0.000328623
sydney,0,3242,2844,0.000164312
train,7,3242,2844,0.001314492
extend,1,3242,2844,0.000328623
clock,0,3242,2844,0.000164312
tire,0,3242,2844,0.000164312
figur,0,3242,2844,0.000164312
test,10,3242,2844,0.001807427
frozen,2,3242,2844,0.000492935
perpetual,0,3242,2844,0.000164312
run,3,3242,2844,0.000657246
dodgy,0,3242,2844,0.000164312
hire,1,3242,2844,0.000328623
staff,0,3242,2844,0.000164312
took,2,3242,2844,0.000492935
told,0,3242,2844,0.000164312
needless,0,3242,2844,0.000164312
hotel,0,3242,2844,0.000164312
relax,0,3242,2844,0.000164312
overall,0,3242,2844,0.000164312
however,0,3242,2844,0.000164312
home,3,3242,2844,0.000657246
online,12,3242,2844,0.00213605
surely,0,3242,2844,0.000164312
cause,1,3242,2844,0.000328623
dilation,0,3242,2844,0.000164312
suburb,0,3242,2844,0.000164312
pin,0,3242,2844,0.000164312
state,0,3242,2844,0.000164312
clarence,0,3242,2844,0.000164312
thoma,0,3242,2844,0.000164312
toss,0,3242,2844,0.000164312
decade,0,3242,2844,0.000164312
workflow,2,3242,2844,0.000492935
standard,0,3242,2844,0.000164312
receipt,0,3242,2844,0.000164312
print,0,3242,2844,0.000164312
playlist,0,3242,2844,0.000164312
bummer,0,3242,2844,0.000164312
Yahoo,24,3242,2844,0.004107788
fantasy,0,3242,2844,0.000164312
football,0,3242,2844,0.000164312
crash,5,3242,2844,0.000985869
nansen,0,3242,2844,0.000164312
clean,1,3242,2844,0.000328623
duplicate,0,3242,2844,0.000164312
magically,0,3242,2844,0.000164312
reappear,0,3242,2844,0.000164312
key,1,3242,2844,0.000328623
often,1,3242,2844,0.000328623
mine,0,3242,2844,0.000164312
gone,0,3242,2844,0.000164312
sister,0,3242,2844,0.000164312
family,6,3242,2844,0.001150181
sloppy,0,3242,2844,0.000164312
known,0,3242,2844,0.000164312
protection,0,3242,2844,0.000164312
laptop,1,3242,2844,0.000328623
cancer,0,3242,2844,0.000164312
maybe,2,3242,2844,0.000492935
wireless,1,3242,2844,0.000328623
worri,1,3242,2844,0.000328623
say,12,3242,2844,0.00213605
toledo,0,3242,2844,0.000164312
equipment,0,3242,2844,0.000164312
broke,2,3242,2844,0.000492935
guess,3,3242,2844,0.000657246
tri,1,3242,2844,0.000328623
anymore,0,3242,2844,0.000164312
durable,0,3242,2844,0.000164312
able,0,3242,2844,0.000164312
newsstand,0,3242,2844,0.000164312
serve,0,3242,2844,0.000164312
purpose,0,3242,2844,0.000164312
easier,0,3242,2844,0.000164312
fruit,0,3242,2844,0.000164312
compar,0,3242,2844,0.000164312
google,32,3242,2844,0.005422281
crowd,0,3242,2844,0.000164312
agree,6,3242,2844,0.001150181
meant,0,3242,2844,0.000164312
buy,11,3242,2844,0.001971738
internet,1,3242,2844,0.000328623
confus,0,3242,2844,0.000164312
consider,4,3242,2844,0.000821558
plu,0,3242,2844,0.000164312
stable,0,3242,2844,0.000164312
reach,0,3242,2844,0.000164312
use,0,3242,2844,0.000164312
completely,2,3242,2844,0.000492935
warm,0,3242,2844,0.000164312
sometime,6,3242,2844,0.001150181
wall,1,3242,2844,0.000328623
remind,0,3242,2844,0.000164312
rest,0,3242,2844,0.000164312
brick,0,3242,2844,0.000164312
install,4,3242,2844,0.000821558
former,0,3242,2844,0.000164312
owner,1,3242,2844,0.000328623
baby,0,3242,2844,0.000164312
delet,0,3242,2844,0.000164312
tiger,0,3242,2844,0.000164312
wood,0,3242,2844,0.000164312
impossible,1,3242,2844,0.000328623
retrieve,0,3242,2844,0.000164312
overbear,0,3242,2844,0.000164312
polici,0,3242,2844,0.000164312
disaster,0,3242,2844,0.000164312
su,0,3242,2844,0.000164312
insurance,0,3242,2844,0.000164312
manag,2,3242,2844,0.000492935
beautiful,0,3242,2844,0.000164312
one,0,3242,2844,0.000164312
arrogant,0,3242,2844,0.000164312
inept,0,3242,2844,0.000164312
combo,0,3242,2844,0.000164312
fade,0,3242,2844,0.000164312
black,1,3242,2844,0.000328623
begin,2,3242,2844,0.000492935
vibrate,0,3242,2844,0.000164312
continuously,0,3242,2844,0.000164312
reboot,0,3242,2844,0.000164312
lame,0,3242,2844,0.000164312
roll,0,3242,2844,0.000164312
equal,0,3242,2844,0.000164312
credit,2,3242,2844,0.000492935
redeem,0,3242,2844,0.000164312
fair,0,3242,2844,0.000164312
less,2,3242,2844,0.000492935
improve,1,3242,2844,0.000328623
monday,0,3242,2844,0.000164312
access,5,3242,2844,0.000985869
premise,0,3242,2844,0.000164312
outlook,5,3242,2844,0.000985869
thunderbird,0,3242,2844,0.000164312
chrome,1,3242,2844,0.000328623
visual,2,3242,2844,0.000492935
merchandis,0,3242,2844,0.000164312
elegance,0,3242,2844,0.000164312
sequence,0,3242,2844,0.000164312
terminal,0,3242,2844,0.000164312
person,0,3242,2844,0.000164312
nonstop,0,3242,2844,0.000164312
mute,0,3242,2844,0.000164312
randomly,0,3242,2844,0.000164312
activate,1,3242,2844,0.000328623
cant,0,3242,2844,0.000164312
occur,0,3242,2844,0.000164312
folk,1,3242,2844,0.000328623
cut,0,3242,2844,0.000164312
manage,2,3242,2844,0.000492935
subscription,0,3242,2844,0.000164312
solution,14,3242,2844,0.002464673
promis,0,3242,2844,0.000164312
similar,0,3242,2844,0.000164312
bell,0,3242,2844,0.000164312
monopolistic,0,3242,2844,0.000164312
forget,1,3242,2844,0.000328623
bloody,0,3242,2844,0.000164312
stump,0,3242,2844,0.000164312
catastrophically,0,3242,2844,0.000164312
canada,0,3242,2844,0.000164312
direction,0,3242,2844,0.000164312
exclusive,0,3242,2844,0.000164312
john,1,3242,2844,0.000328623
jean,0,3242,2844,0.000164312
french,0,3242,2844,0.000164312
report,10,3242,2844,0.001807427
theft,0,3242,2844,0.000164312
bode,0,3242,2844,0.000164312
night,0,3242,2844,0.000164312
charger,0,3242,2844,0.000164312
houston,0,3242,2844,0.000164312
together,2,3242,2844,0.000492935
ford,0,3242,2844,0.000164312
focu,2,3242,2844,0.000492935
movi,0,3242,2844,0.000164312
jihad,0,3242,2844,0.000164312
adobe,3,3242,2844,0.000657246
record,0,3242,2844,0.000164312
quarter,0,3242,2844,0.000164312
bunch,0,3242,2844,0.000164312
professional,0,3242,2844,0.000164312
guesser,0,3242,2844,0.000164312
analyst,0,3242,2844,0.000164312
releas,6,3242,2844,0.001150181
possible,2,3242,2844,0.000492935
latter,0,3242,2844,0.000164312
spec,0,3242,2844,0.000164312
price,2,3242,2844,0.000492935
takeaway,0,3242,2844,0.000164312
earn,4,3242,2844,0.000821558
stay,0,3242,2844,0.000164312
competitive,0,3242,2844,0.000164312
headline,0,3242,2844,0.000164312
lower,0,3242,2844,0.000164312
pamper,0,3242,2844,0.000164312
memori,0,3242,2844,0.000164312
expand,0,3242,2844,0.000164312
countri,0,3242,2844,0.000164312
december,0,3242,2844,0.000164312
coincidence,0,3242,2844,0.000164312
virtual,3,3242,2844,0.000657246
assistant,0,3242,2844,0.000164312
robot,0,3242,2844,0.000164312
result,1,3242,2844,0.000328623
depend,0,3242,2844,0.000164312
increas,0,3242,2844,0.000164312
revenue,3,3242,2844,0.000657246
recession,0,3242,2844,0.000164312
rather,0,3242,2844,0.000164312
friend,2,3242,2844,0.000492935
choose,0,3242,2844,0.000164312
profile,1,3242,2844,0.000328623
amazon,1,3242,2844,0.000328623
log,0,3242,2844,0.000164312
troublemaker,0,3242,2844,0.000164312
struggl,0,3242,2844,0.000164312
blow,0,3242,2844,0.000164312
mind,0,3242,2844,0.000164312
gizmo,0,3242,2844,0.000164312
shut,0,3242,2844,0.000164312
wednesday,1,3242,2844,0.000328623
memorial,0,3242,2844,0.000164312
cranial,0,3242,2844,0.000164312
insertion,0,3242,2844,0.000164312
implant,0,3242,2844,0.000164312
official,1,3242,2844,0.000328623
seven,0,3242,2844,0.000164312
rule,5,3242,2844,0.000985869
weekly,0,3242,2844,0.000164312
twit,0,3242,2844,0.000164312
Young,0,3242,2844,0.000164312
foolish,0,3242,2844,0.000164312
ownership,1,3242,2844,0.000328623
resilience,0,3242,2844,0.000164312
smell,0,3242,2844,0.000164312
lawsuit,0,3242,2844,0.000164312
morn,0,3242,2844,0.000164312
remote,0,3242,2844,0.000164312
keynote,0,3242,2844,0.000164312
presentation,1,3242,2844,0.000328623
nobody,0,3242,2844,0.000164312
pith,0,3242,2844,0.000164312
navigate,0,3242,2844,0.000164312
voicemail,0,3242,2844,0.000164312
sincerely,0,3242,2844,0.000164312
household,0,3242,2844,0.000164312
mini,0,3242,2844,0.000164312
airport,0,3242,2844,0.000164312
usable,0,3242,2844,0.000164312
shari,0,3242,2844,0.000164312
explor,0,3242,2844,0.000164312
speak,3,3242,2844,0.000657246
symbol,0,3242,2844,0.000164312
relate,0,3242,2844,0.000164312
nostalgia,0,3242,2844,0.000164312
contract,1,3242,2844,0.000328623
factory,0,3242,2844,0.000164312
holder,0,3242,2844,0.000164312
spot,0,3242,2844,0.000164312
setup,0,3242,2844,0.000164312
nike,0,3242,2844,0.000164312
dedicate,0,3242,2844,0.000164312
memory,0,3242,2844,0.000164312
brilliant,0,3242,2844,0.000164312
evolution,0,3242,2844,0.000164312
inanimate,0,3242,2844,0.000164312
object,0,3242,2844,0.000164312
notic,0,3242,2844,0.000164312
tweet,1,3242,2844,0.000328623
closet,0,3242,2844,0.000164312
generation,0,3242,2844,0.000164312
contend,0,3242,2844,0.000164312
utility,0,3242,2844,0.000164312
balk,0,3242,2844,0.000164312
acquisition,1,3242,2844,0.000328623
billion,5,3242,2844,0.000985869
battl,0,3242,2844,0.000164312
consumer,3,3242,2844,0.000657246
thought,0,3242,2844,0.000164312
unique,0,3242,2844,0.000164312
wonder,3,3242,2844,0.000657246
tablet,7,3242,2844,0.001314492
battle,1,3242,2844,0.000328623
community,2,3242,2844,0.000492935
unconventional,0,3242,2844,0.000164312
leadership,0,3242,2844,0.000164312
secret,0,3242,2844,0.000164312
entire,0,3242,2844,0.000164312
giant,2,3242,2844,0.000492935
attend,3,3242,2844,0.000657246
donate,0,3242,2844,0.000164312
pancreatic,0,3242,2844,0.000164312
research,10,3242,2844,0.001807427
plank,0,3242,2844,0.000164312
daily,2,3242,2844,0.000492935
tripl,0,3242,2844,0.000164312
came,1,3242,2844,0.000328623
duplication,0,3242,2844,0.000164312
import,0,3242,2844,0.000164312
categorize,0,3242,2844,0.000164312
broken,1,3242,2844,0.000328623
place,0,3242,2844,0.000164312
section,0,3242,2844,0.000164312
let,3,3242,2844,0.000657246
fine,1,3242,2844,0.000328623
straight,1,3242,2844,0.000328623
poop,0,3242,2844,0.000164312
sarcasm,0,3242,2844,0.000164312
built-in,0,3242,2844,0.000164312
helpful,0,3242,2844,0.000164312
spell,0,3242,2844,0.000164312
document,2,3242,2844,0.000492935
finger,0,3242,2844,0.000164312
cross,0,3242,2844,0.000164312
left,0,3242,2844,0.000164312
nugget,0,3242,2844,0.000164312
behind,2,3242,2844,0.000492935
october,1,3242,2844,0.000328623
weird,1,3242,2844,0.000328623
verge,0,3242,2844,0.000164312
karaoke,0,3242,2844,0.000164312
american,0,3242,2844,0.000164312
define,0,3242,2844,0.000164312
disagree,0,3242,2844,0.000164312
hungry,0,3242,2844,0.000164312
founder,0,3242,2844,0.000164312
found,0,3242,2844,0.000164312
sink,0,3242,2844,0.000164312
alto,0,3242,2844,0.000164312
downtown,0,3242,2844,0.000164312
dude,0,3242,2844,0.000164312
fattest,0,3242,2844,0.000164312
hook,0,3242,2844,0.000164312
memo,0,3242,2844,0.000164312
scrub,0,3242,2844,0.000164312
journalist,0,3242,2844,0.000164312
babi,0,3242,2844,0.000164312
poll,0,3242,2844,0.000164312
ban,0,3242,2844,0.000164312
buzz,0,3242,2844,0.000164312
trip,0,3242,2844,0.000164312
colleague,1,3242,2844,0.000328623
overboard,0,3242,2844,0.000164312
misread,0,3242,2844,0.000164312
Yelp,0,3242,2844,0.000164312
review,6,3242,2844,0.001150181
thai,1,3242,2844,0.000328623
financial,2,3242,2844,0.000492935
purely,0,3242,2844,0.000164312
shift,0,3242,2844,0.000164312
sling,0,3242,2844,0.000164312
spontaneou,0,3242,2844,0.000164312
danc,0,3242,2844,0.000164312
outfit,0,3242,2844,0.000164312
girl,0,3242,2844,0.000164312
part,4,3242,2844,0.000821558
imagine,0,3242,2844,0.000164312
map,0,3242,2844,0.000164312
graphic,0,3242,2844,0.000164312
website,0,3242,2844,0.000164312
court,0,3242,2844,0.000164312
style,0,3242,2844,0.000164312
dumb,1,3242,2844,0.000328623
mortar,0,3242,2844,0.000164312
london,1,3242,2844,0.000328623
fit,0,3242,2844,0.000164312
mirror,0,3242,2844,0.000164312
school,1,3242,2844,0.000328623
couple,2,3242,2844,0.000492935
kid,7,3242,2844,0.001314492
hardware,0,3242,2844,0.000164312
promise,0,3242,2844,0.000164312
freak,0,3242,2844,0.000164312
past,3,3242,2844,0.000657246
away,7,3242,2844,0.001314492
follow,3,3242,2844,0.000657246
growth,0,3242,2844,0.000164312
area,0,3242,2844,0.000164312
msg,0,3242,2844,0.000164312
tomorrow,9,3242,2844,0.001643115
reserve,0,3242,2844,0.000164312
imminent,0,3242,2844,0.000164312
sold,1,3242,2844,0.000328623
overwhelm,0,3242,2844,0.000164312
reaction,1,3242,2844,0.000328623
death,2,3242,2844,0.000492935
telegraph,0,3242,2844,0.000164312
insert,0,3242,2844,0.000164312
all-time,0,3242,2844,0.000164312
high,1,3242,2844,0.000328623
hang,0,3242,2844,0.000164312
tacoma,0,3242,2844,0.000164312
beatle,0,3242,2844,0.000164312
front,0,3242,2844,0.000164312
shirt,0,3242,2844,0.000164312
reunion,0,3242,2844,0.000164312
tighten,0,3242,2844,0.000164312
pro,0,3242,2844,0.000164312
jacob,0,3242,2844,0.000164312
notify,0,3242,2844,0.000164312
clown,0,3242,2844,0.000164312
spin,0,3242,2844,0.000164312
wheel,0,3242,2844,0.000164312
reinvent,0,3242,2844,0.000164312
lookup,0,3242,2844,0.000164312
easiest,0,3242,2844,0.000164312
brady,0,3242,2844,0.000164312
surpris,1,3242,2844,0.000328623
mark,0,3242,2844,0.000164312
comparison,1,3242,2844,0.000328623
segregate,0,3242,2844,0.000164312
internode,0,3242,2844,0.000164312
piracy,3,3242,2844,0.000657246
mainly,1,3242,2844,0.000328623
platform,2,3242,2844,0.000492935
obscure,0,3242,2844,0.000164312
infamou,0,3242,2844,0.000164312
hall,0,3242,2844,0.000164312
pass,2,3242,2844,0.000492935
nookie,0,3242,2844,0.000164312
joel,0,3242,2844,0.000164312
circumstance,0,3242,2844,0.000164312
suffer,1,3242,2844,0.000328623
period,0,3242,2844,0.000164312
goodwill,0,3242,2844,0.000164312
paul,0,3242,2844,0.000164312
chat,2,3242,2844,0.000492935
advisor,0,3242,2844,0.000164312
tribute,0,3242,2844,0.000164312
faulty,0,3242,2844,0.000164312
gain,0,3242,2844,0.000164312
advertis,2,3242,2844,0.000492935
balloon,0,3242,2844,0.000164312
respect,2,3242,2844,0.000492935
alternative,1,3242,2844,0.000328623
india,1,3242,2844,0.000328623
squad,0,3242,2844,0.000164312
peep,0,3242,2844,0.000164312
algorithm,0,3242,2844,0.000164312
shrewd,0,3242,2844,0.000164312
root,0,3242,2844,0.000164312
horse,0,3242,2844,0.000164312
flower,0,3242,2844,0.000164312
shower,0,3242,2844,0.000164312
beg,0,3242,2844,0.000164312
valuable,0,3242,2844,0.000164312
analysi,1,3242,2844,0.000328623
trend,0,3242,2844,0.000164312
profit,0,3242,2844,0.000164312
proud,0,3242,2844,0.000164312
predict,0,3242,2844,0.000164312
stage,2,3242,2844,0.000492935
september,0,3242,2844,0.000164312
head,1,3242,2844,0.000328623
detail,4,3242,2844,0.000821558
auto,0,3242,2844,0.000164312
renewal,0,3242,2844,0.000164312
settle,0,3242,2844,0.000164312
content,0,3242,2844,0.000164312
coffer,0,3242,2844,0.000164312
hit,0,3242,2844,0.000164312
smart,0,3242,2844,0.000164312
engage,2,3242,2844,0.000492935
partner,6,3242,2844,0.001150181
social,6,3242,2844,0.001150181
activity,0,3242,2844,0.000164312
messag,0,3242,2844,0.000164312
kinda,0,3242,2844,0.000164312
relevant,0,3242,2844,0.000164312
junkie,0,3242,2844,0.000164312
buri,0,3242,2844,0.000164312
ability,0,3242,2844,0.000164312
inconvenient,0,3242,2844,0.000164312
cofounder,0,3242,2844,0.000164312
stood,0,3242,2844,0.000164312
provide,1,3242,2844,0.000328623
chase,0,3242,2844,0.000164312
cream,1,3242,2844,0.000328623
sandwich,1,3242,2844,0.000328623
Yesss,0,3242,2844,0.000164312
situation,0,3242,2844,0.000164312
gulp,0,3242,2844,0.000164312
pack,5,3242,2844,0.000985869
session,4,3242,2844,0.000821558
indicator,0,3242,2844,0.000164312
management,1,3242,2844,0.000328623
entrepreneur,2,3242,2844,0.000492935
startup,1,3242,2844,0.000328623
bangla,0,3242,2844,0.000164312
bengali,0,3242,2844,0.000164312
galaxy,0,3242,2844,0.000164312
globally,0,3242,2844,0.000164312
traffic,0,3242,2844,0.000164312
gift,0,3242,2844,0.000164312
opinion,1,3242,2844,0.000328623
careful,0,3242,2844,0.000164312
chip,0,3242,2844,0.000164312
guarantee,0,3242,2844,0.000164312
failure,1,3242,2844,0.000328623
principal,0,3242,2844,0.000164312
global,3,3242,2844,0.000657246
player,2,3242,2844,0.000492935
active,0,3242,2844,0.000164312
kobo,0,3242,2844,0.000164312
underplay,0,3242,2844,0.000164312
invisible,0,3242,2844,0.000164312
hospital,0,3242,2844,0.000164312
single,0,3242,2844,0.000164312
mourn,0,3242,2844,0.000164312
dock,0,3242,2844,0.000164312
scroll,0,3242,2844,0.000164312
title,1,3242,2844,0.000328623
font,0,3242,2844,0.000164312
across,1,3242,2844,0.000328623
main,0,3242,2844,0.000164312
wayne,0,3242,2844,0.000164312
leav,1,3242,2844,0.000328623
correct,0,3242,2844,0.000164312
child,4,3242,2844,0.000821558
poorly,0,3242,2844,0.000164312
painless,0,3242,2844,0.000164312
choice,3,3242,2844,0.000657246
form,1,3242,2844,0.000328623
component,0,3242,2844,0.000164312
continue,0,3242,2844,0.000164312
bite,0,3242,2844,0.000164312
upcom,0,3242,2844,0.000164312
afro-american,0,3242,2844,0.000164312
emoticon,0,3242,2844,0.000164312
angry,0,3242,2844,0.000164312
omission,0,3242,2844,0.000164312
advanc,0,3242,2844,0.000164312
printer,0,3242,2844,0.000164312
mighty,0,3242,2844,0.000164312
alcohol,0,3242,2844,0.000164312
act,0,3242,2844,0.000164312
timeline,1,3242,2844,0.000328623
history,4,3242,2844,0.000821558
challeng,0,3242,2844,0.000164312
possibly,0,3242,2844,0.000164312
accessori,0,3242,2844,0.000164312
policy,0,3242,2844,0.000164312
intellectual,0,3242,2844,0.000164312
property,0,3242,2844,0.000164312
infringement,0,3242,2844,0.000164312
claim,1,3242,2844,0.000328623
unauthorize,0,3242,2844,0.000164312
likely,0,3242,2844,0.000164312
suit,1,3242,2844,0.000328623
accus,1,3242,2844,0.000328623
roar,0,3242,2844,0.000164312
unveil,1,3242,2844,0.000328623
placement,0,3242,2844,0.000164312
effort,0,3242,2844,0.000164312
Yield,0,3242,2844,0.000164312
stock,0,3242,2844,0.000164312
promot,0,3242,2844,0.000164312
magazine,0,3242,2844,0.000164312
add,0,3242,2844,0.000164312
escort,0,3242,2844,0.000164312
legal,0,3242,2844,0.000164312
discovery,0,3242,2844,0.000164312
public,2,3242,2844,0.000492935
leopard,0,3242,2844,0.000164312
functionality,0,3242,2844,0.000164312
identity,0,3242,2844,0.000164312
logo,0,3242,2844,0.000164312
revis,0,3242,2844,0.000164312
doubt,0,3242,2844,0.000164312
enough,1,3242,2844,0.000328623
cope,0,3242,2844,0.000164312
defraud,0,3242,2844,0.000164312
win,4,3242,2844,0.000821558
salute,0,3242,2844,0.000164312
dog,0,3242,2844,0.000164312
earlier,0,3242,2844,0.000164312
upstair,0,3242,2844,0.000164312
soho,0,3242,2844,0.000164312
sudden,0,3242,2844,0.000164312
sprung,0,3242,2844,0.000164312
attention,0,3242,2844,0.000164312
digital,5,3242,2844,0.000985869
california,0,3242,2844,0.000164312
joseph,0,3242,2844,0.000164312
patiently,0,3242,2844,0.000164312
end,0,3242,2844,0.000164312
reply,0,3242,2844,0.000164312
insist,0,3242,2844,0.000164312
favorite,0,3242,2844,0.000164312
color,1,3242,2844,0.000328623
average,0,3242,2844,0.000164312
speed,0,3242,2844,0.000164312
swallow,1,3242,2844,0.000328623
python,0,3242,2844,0.000164312
denounce,0,3242,2844,0.000164312
nuance,0,3242,2844,0.000164312
cheap,0,3242,2844,0.000164312
improvement,5,3242,2844,0.000985869
