Words,Features,# of words in twitter,# of unique words in all documents,Condition prob of given word in twitter
check,1,2145,2844,0.000400882
usage,1,2145,2844,0.000400882
huge,0,2145,2844,0.000200441
podcast,0,2145,2844,0.000200441
drop,1,2145,2844,0.000400882
ball,0,2145,2844,0.000200441
perhap,0,2145,2844,0.000200441
star,0,2145,2844,0.000200441
war,0,2145,2844,0.000200441
brain,0,2145,2844,0.000200441
password,0,2145,2844,0.000200441
protect,0,2145,2844,0.000200441
quickly,0,2145,2844,0.000200441
see,0,2145,2844,0.000200441
bar,0,2145,2844,0.000200441
return,0,2145,2844,0.000200441
anyway,1,2145,2844,0.000400882
start,9,2145,2844,0.00200441
knew,0,2145,2844,0.000200441
pink,1,2145,2844,0.000400882
hold,0,2145,2844,0.000200441
hindi,0,2145,2844,0.000200441
cheer,0,2145,2844,0.000200441
indian,0,2145,2844,0.000200441
language,0,2145,2844,0.000200441
warn,0,2145,2844,0.000200441
spontaneously,0,2145,2844,0.000200441
loose,0,2145,2844,0.000200441
might,1,2145,2844,0.000400882
fault,0,2145,2844,0.000200441
hopefully,1,2145,2844,0.000400882
figure,0,2145,2844,0.000200441
copy,0,2145,2844,0.000200441
hell,3,2145,2844,0.000801764
unhappy,0,2145,2844,0.000200441
change,3,2145,2844,0.000801764
input,0,2145,2844,0.000200441
number,5,2145,2844,0.001202646
handl,0,2145,2844,0.000200441
blue,4,2145,2844,0.001002205
minute,15,2145,2844,0.003207056
dupe,0,2145,2844,0.000200441
disappointment,0,2145,2844,0.000200441
inventor,0,2145,2844,0.000200441
excit,1,2145,2844,0.000400882
tragic,0,2145,2844,0.000200441
impression,0,2145,2844,0.000200441
dissent,0,2145,2844,0.000200441
multiple,0,2145,2844,0.000200441
connect,1,2145,2844,0.000400882
server,1,2145,2844,0.000400882
exercise,1,2145,2844,0.000400882
rename,0,2145,2844,0.000200441
bottleneck,0,2145,2844,0.000200441
chance,1,2145,2844,0.000400882
headphone,0,2145,2844,0.000200441
blast,0,2145,2844,0.000200441
ear,0,2145,2844,0.000200441
quite,1,2145,2844,0.000400882
obnoxiou,0,2145,2844,0.000200441
cloudy,0,2145,2844,0.000200441
techy,0,2145,2844,0.000200441
process,2,2145,2844,0.000601323
command,0,2145,2844,0.000200441
design,1,2145,2844,0.000400882
appropriately,0,2145,2844,0.000200441
project,0,2145,2844,0.000200441
resource,0,2145,2844,0.000200441
reliable,1,2145,2844,0.000400882
spoke,0,2145,2844,0.000200441
blare,0,2145,2844,0.000200441
direct,1,2145,2844,0.000400882
wrong,3,2145,2844,0.000801764
suspect,0,2145,2844,0.000200441
perfectly,0,2145,2844,0.000200441
ail,0,2145,2844,0.000200441
stink,0,2145,2844,0.000200441
inform,0,2145,2844,0.000200441
migrate,1,2145,2844,0.000400882
many,4,2145,2844,0.001002205
complaint,0,2145,2844,0.000200441
image,0,2145,2844,0.000200441
rape,0,2145,2844,0.000200441
small,1,2145,2844,0.000400882
realise,0,2145,2844,0.000200441
base,0,2145,2844,0.000200441
petty,0,2145,2844,0.000200441
original,0,2145,2844,0.000200441
location,0,2145,2844,0.000200441
domain,0,2145,2844,0.000200441
empty,0,2145,2844,0.000200441
skin,0,2145,2844,0.000200441
represent,0,2145,2844,0.000200441
tear,0,2145,2844,0.000200441
thunderbolt,0,2145,2844,0.000200441
try,0,2145,2844,0.000200441
throat,0,2145,2844,0.000200441
slower,0,2145,2844,0.000200441
nexu,0,2145,2844,0.000200441
force,0,2145,2844,0.000200441
stuff,2,2145,2844,0.000601323
upset,0,2145,2844,0.000200441
inconvenienc,0,2145,2844,0.000200441
finance,0,2145,2844,0.000200441
greedy,0,2145,2844,0.000200441
bastard,0,2145,2844,0.000200441
santa,0,2145,2844,0.000200441
jolly,0,2145,2844,0.000200441
white,0,2145,2844,0.000200441
spend,0,2145,2844,0.000200441
recover,0,2145,2844,0.000200441
immobile,0,2145,2844,0.000200441
ponder,0,2145,2844,0.000200441
difficulti,0,2145,2844,0.000200441
serv,0,2145,2844,0.000200441
sydney,0,2145,2844,0.000200441
train,1,2145,2844,0.000400882
extend,0,2145,2844,0.000200441
clock,0,2145,2844,0.000200441
tire,8,2145,2844,0.001803969
figur,0,2145,2844,0.000200441
test,0,2145,2844,0.000200441
frozen,0,2145,2844,0.000200441
perpetual,0,2145,2844,0.000200441
run,0,2145,2844,0.000200441
dodgy,0,2145,2844,0.000200441
hire,0,2145,2844,0.000200441
staff,0,2145,2844,0.000200441
took,1,2145,2844,0.000400882
told,1,2145,2844,0.000400882
needless,0,2145,2844,0.000200441
hotel,0,2145,2844,0.000200441
relax,0,2145,2844,0.000200441
overall,0,2145,2844,0.000200441
however,0,2145,2844,0.000200441
home,1,2145,2844,0.000400882
online,0,2145,2844,0.000200441
surely,0,2145,2844,0.000200441
cause,4,2145,2844,0.001002205
dilation,0,2145,2844,0.000200441
suburb,0,2145,2844,0.000200441
pin,0,2145,2844,0.000200441
state,1,2145,2844,0.000400882
clarence,0,2145,2844,0.000200441
thoma,0,2145,2844,0.000200441
toss,0,2145,2844,0.000200441
decade,0,2145,2844,0.000200441
workflow,0,2145,2844,0.000200441
standard,0,2145,2844,0.000200441
receipt,0,2145,2844,0.000200441
print,0,2145,2844,0.000200441
playlist,0,2145,2844,0.000200441
bummer,0,2145,2844,0.000200441
Yahoo,0,2145,2844,0.000200441
fantasy,0,2145,2844,0.000200441
football,0,2145,2844,0.000200441
crash,1,2145,2844,0.000400882
nansen,0,2145,2844,0.000200441
clean,0,2145,2844,0.000200441
duplicate,0,2145,2844,0.000200441
magically,0,2145,2844,0.000200441
reappear,0,2145,2844,0.000200441
key,0,2145,2844,0.000200441
often,1,2145,2844,0.000400882
mine,0,2145,2844,0.000200441
gone,4,2145,2844,0.001002205
sister,0,2145,2844,0.000200441
family,1,2145,2844,0.000400882
sloppy,0,2145,2844,0.000200441
known,0,2145,2844,0.000200441
protection,0,2145,2844,0.000200441
laptop,1,2145,2844,0.000400882
cancer,0,2145,2844,0.000200441
maybe,1,2145,2844,0.000400882
wireless,0,2145,2844,0.000200441
worri,0,2145,2844,0.000200441
say,1,2145,2844,0.000400882
toledo,0,2145,2844,0.000200441
equipment,0,2145,2844,0.000200441
broke,1,2145,2844,0.000400882
guess,3,2145,2844,0.000801764
tri,1,2145,2844,0.000400882
anymore,2,2145,2844,0.000601323
durable,0,2145,2844,0.000200441
able,5,2145,2844,0.001202646
newsstand,0,2145,2844,0.000200441
serve,0,2145,2844,0.000200441
purpose,0,2145,2844,0.000200441
easier,0,2145,2844,0.000200441
fruit,0,2145,2844,0.000200441
compar,0,2145,2844,0.000200441
google,2,2145,2844,0.000601323
crowd,0,2145,2844,0.000200441
agree,0,2145,2844,0.000200441
meant,1,2145,2844,0.000400882
buy,0,2145,2844,0.000200441
internet,1,2145,2844,0.000400882
confus,0,2145,2844,0.000200441
consider,0,2145,2844,0.000200441
plu,0,2145,2844,0.000200441
stable,0,2145,2844,0.000200441
reach,1,2145,2844,0.000400882
use,2,2145,2844,0.000601323
completely,0,2145,2844,0.000200441
warm,0,2145,2844,0.000200441
sometime,0,2145,2844,0.000200441
wall,4,2145,2844,0.001002205
remind,0,2145,2844,0.000200441
rest,2,2145,2844,0.000601323
brick,0,2145,2844,0.000200441
install,5,2145,2844,0.001202646
former,0,2145,2844,0.000200441
owner,0,2145,2844,0.000200441
baby,0,2145,2844,0.000200441
delet,0,2145,2844,0.000200441
tiger,0,2145,2844,0.000200441
wood,0,2145,2844,0.000200441
impossible,0,2145,2844,0.000200441
retrieve,0,2145,2844,0.000200441
overbear,0,2145,2844,0.000200441
polici,0,2145,2844,0.000200441
disaster,0,2145,2844,0.000200441
su,0,2145,2844,0.000200441
insurance,0,2145,2844,0.000200441
manag,0,2145,2844,0.000200441
beautiful,0,2145,2844,0.000200441
one,0,2145,2844,0.000200441
arrogant,0,2145,2844,0.000200441
inept,0,2145,2844,0.000200441
combo,0,2145,2844,0.000200441
fade,0,2145,2844,0.000200441
black,0,2145,2844,0.000200441
begin,0,2145,2844,0.000200441
vibrate,0,2145,2844,0.000200441
continuously,0,2145,2844,0.000200441
reboot,0,2145,2844,0.000200441
lame,1,2145,2844,0.000400882
roll,1,2145,2844,0.000400882
equal,0,2145,2844,0.000200441
credit,0,2145,2844,0.000200441
redeem,0,2145,2844,0.000200441
fair,0,2145,2844,0.000200441
less,1,2145,2844,0.000400882
improve,0,2145,2844,0.000200441
monday,2,2145,2844,0.000601323
access,0,2145,2844,0.000200441
premise,0,2145,2844,0.000200441
outlook,0,2145,2844,0.000200441
thunderbird,0,2145,2844,0.000200441
chrome,0,2145,2844,0.000200441
visual,0,2145,2844,0.000200441
merchandis,0,2145,2844,0.000200441
elegance,0,2145,2844,0.000200441
sequence,0,2145,2844,0.000200441
terminal,0,2145,2844,0.000200441
person,0,2145,2844,0.000200441
nonstop,0,2145,2844,0.000200441
mute,1,2145,2844,0.000400882
randomly,0,2145,2844,0.000200441
activate,0,2145,2844,0.000200441
cant,5,2145,2844,0.001202646
occur,0,2145,2844,0.000200441
folk,1,2145,2844,0.000400882
cut,0,2145,2844,0.000200441
manage,0,2145,2844,0.000200441
subscription,0,2145,2844,0.000200441
solution,0,2145,2844,0.000200441
promis,0,2145,2844,0.000200441
similar,0,2145,2844,0.000200441
bell,0,2145,2844,0.000200441
monopolistic,0,2145,2844,0.000200441
forget,2,2145,2844,0.000601323
bloody,1,2145,2844,0.000400882
stump,0,2145,2844,0.000200441
catastrophically,0,2145,2844,0.000200441
canada,0,2145,2844,0.000200441
direction,0,2145,2844,0.000200441
exclusive,0,2145,2844,0.000200441
john,0,2145,2844,0.000200441
jean,0,2145,2844,0.000200441
french,0,2145,2844,0.000200441
report,0,2145,2844,0.000200441
theft,0,2145,2844,0.000200441
bode,0,2145,2844,0.000200441
night,18,2145,2844,0.003808378
charger,0,2145,2844,0.000200441
houston,0,2145,2844,0.000200441
together,2,2145,2844,0.000601323
ford,0,2145,2844,0.000200441
focu,2,2145,2844,0.000601323
movi,0,2145,2844,0.000200441
jihad,0,2145,2844,0.000200441
adobe,0,2145,2844,0.000200441
record,0,2145,2844,0.000200441
quarter,0,2145,2844,0.000200441
bunch,0,2145,2844,0.000200441
professional,0,2145,2844,0.000200441
guesser,0,2145,2844,0.000200441
analyst,0,2145,2844,0.000200441
releas,0,2145,2844,0.000200441
possible,0,2145,2844,0.000200441
latter,0,2145,2844,0.000200441
spec,0,2145,2844,0.000200441
price,0,2145,2844,0.000200441
takeaway,0,2145,2844,0.000200441
earn,0,2145,2844,0.000200441
stay,3,2145,2844,0.000801764
competitive,0,2145,2844,0.000200441
headline,0,2145,2844,0.000200441
lower,0,2145,2844,0.000200441
pamper,0,2145,2844,0.000200441
memori,0,2145,2844,0.000200441
expand,0,2145,2844,0.000200441
countri,0,2145,2844,0.000200441
december,0,2145,2844,0.000200441
coincidence,0,2145,2844,0.000200441
virtual,0,2145,2844,0.000200441
assistant,0,2145,2844,0.000200441
robot,0,2145,2844,0.000200441
result,1,2145,2844,0.000400882
depend,0,2145,2844,0.000200441
increas,0,2145,2844,0.000200441
revenue,0,2145,2844,0.000200441
recession,0,2145,2844,0.000200441
rather,0,2145,2844,0.000200441
friend,6,2145,2844,0.001403087
choose,1,2145,2844,0.000400882
profile,2,2145,2844,0.000601323
amazon,0,2145,2844,0.000200441
log,1,2145,2844,0.000400882
troublemaker,0,2145,2844,0.000200441
struggl,0,2145,2844,0.000200441
blow,2,2145,2844,0.000601323
mind,2,2145,2844,0.000601323
gizmo,0,2145,2844,0.000200441
shut,0,2145,2844,0.000200441
wednesday,0,2145,2844,0.000200441
memorial,0,2145,2844,0.000200441
cranial,0,2145,2844,0.000200441
insertion,0,2145,2844,0.000200441
implant,0,2145,2844,0.000200441
official,1,2145,2844,0.000400882
seven,1,2145,2844,0.000400882
rule,0,2145,2844,0.000200441
weekly,0,2145,2844,0.000200441
twit,1,2145,2844,0.000400882
Young,0,2145,2844,0.000200441
foolish,0,2145,2844,0.000200441
ownership,0,2145,2844,0.000200441
resilience,0,2145,2844,0.000200441
smell,0,2145,2844,0.000200441
lawsuit,0,2145,2844,0.000200441
morn,4,2145,2844,0.001002205
remote,0,2145,2844,0.000200441
keynote,0,2145,2844,0.000200441
presentation,1,2145,2844,0.000400882
nobody,0,2145,2844,0.000200441
pith,0,2145,2844,0.000200441
navigate,0,2145,2844,0.000200441
voicemail,0,2145,2844,0.000200441
sincerely,0,2145,2844,0.000200441
household,0,2145,2844,0.000200441
mini,0,2145,2844,0.000200441
airport,0,2145,2844,0.000200441
usable,0,2145,2844,0.000200441
shari,0,2145,2844,0.000200441
explor,0,2145,2844,0.000200441
speak,1,2145,2844,0.000400882
symbol,0,2145,2844,0.000200441
relate,1,2145,2844,0.000400882
nostalgia,0,2145,2844,0.000200441
contract,0,2145,2844,0.000200441
factory,0,2145,2844,0.000200441
holder,0,2145,2844,0.000200441
spot,0,2145,2844,0.000200441
setup,0,2145,2844,0.000200441
nike,0,2145,2844,0.000200441
dedicate,0,2145,2844,0.000200441
memory,0,2145,2844,0.000200441
brilliant,1,2145,2844,0.000400882
evolution,0,2145,2844,0.000200441
inanimate,0,2145,2844,0.000200441
object,0,2145,2844,0.000200441
notic,0,2145,2844,0.000200441
tweet,22,2145,2844,0.004610142
closet,0,2145,2844,0.000200441
generation,0,2145,2844,0.000200441
contend,0,2145,2844,0.000200441
utility,0,2145,2844,0.000200441
balk,0,2145,2844,0.000200441
acquisition,0,2145,2844,0.000200441
billion,0,2145,2844,0.000200441
battl,0,2145,2844,0.000200441
consumer,0,2145,2844,0.000200441
thought,2,2145,2844,0.000601323
unique,0,2145,2844,0.000200441
wonder,0,2145,2844,0.000200441
tablet,0,2145,2844,0.000200441
battle,0,2145,2844,0.000200441
community,0,2145,2844,0.000200441
unconventional,0,2145,2844,0.000200441
leadership,0,2145,2844,0.000200441
secret,0,2145,2844,0.000200441
entire,1,2145,2844,0.000400882
giant,0,2145,2844,0.000200441
attend,0,2145,2844,0.000200441
donate,0,2145,2844,0.000200441
pancreatic,0,2145,2844,0.000200441
research,0,2145,2844,0.000200441
plank,0,2145,2844,0.000200441
daily,1,2145,2844,0.000400882
tripl,0,2145,2844,0.000200441
came,0,2145,2844,0.000200441
duplication,0,2145,2844,0.000200441
import,0,2145,2844,0.000200441
categorize,0,2145,2844,0.000200441
broken,1,2145,2844,0.000400882
place,2,2145,2844,0.000601323
section,2,2145,2844,0.000601323
let,1,2145,2844,0.000400882
fine,0,2145,2844,0.000200441
straight,1,2145,2844,0.000400882
poop,0,2145,2844,0.000200441
sarcasm,0,2145,2844,0.000200441
built-in,0,2145,2844,0.000200441
helpful,0,2145,2844,0.000200441
spell,0,2145,2844,0.000200441
document,0,2145,2844,0.000200441
finger,1,2145,2844,0.000400882
cross,0,2145,2844,0.000200441
left,2,2145,2844,0.000601323
nugget,0,2145,2844,0.000200441
behind,0,2145,2844,0.000200441
october,0,2145,2844,0.000200441
weird,0,2145,2844,0.000200441
verge,0,2145,2844,0.000200441
karaoke,0,2145,2844,0.000200441
american,0,2145,2844,0.000200441
define,0,2145,2844,0.000200441
disagree,0,2145,2844,0.000200441
hungry,0,2145,2844,0.000200441
founder,0,2145,2844,0.000200441
found,0,2145,2844,0.000200441
sink,0,2145,2844,0.000200441
alto,0,2145,2844,0.000200441
downtown,0,2145,2844,0.000200441
dude,0,2145,2844,0.000200441
fattest,0,2145,2844,0.000200441
hook,1,2145,2844,0.000400882
memo,0,2145,2844,0.000200441
scrub,0,2145,2844,0.000200441
journalist,0,2145,2844,0.000200441
babi,0,2145,2844,0.000200441
poll,0,2145,2844,0.000200441
ban,0,2145,2844,0.000200441
buzz,6,2145,2844,0.001403087
trip,1,2145,2844,0.000400882
colleague,0,2145,2844,0.000200441
overboard,0,2145,2844,0.000200441
misread,0,2145,2844,0.000200441
Yelp,0,2145,2844,0.000200441
review,1,2145,2844,0.000400882
thai,0,2145,2844,0.000200441
financial,0,2145,2844,0.000200441
purely,0,2145,2844,0.000200441
shift,0,2145,2844,0.000200441
sling,0,2145,2844,0.000200441
spontaneou,0,2145,2844,0.000200441
danc,0,2145,2844,0.000200441
outfit,0,2145,2844,0.000200441
girl,5,2145,2844,0.001202646
part,0,2145,2844,0.000200441
imagine,0,2145,2844,0.000200441
map,0,2145,2844,0.000200441
graphic,0,2145,2844,0.000200441
website,2,2145,2844,0.000601323
court,0,2145,2844,0.000200441
style,0,2145,2844,0.000200441
dumb,1,2145,2844,0.000400882
mortar,0,2145,2844,0.000200441
london,0,2145,2844,0.000200441
fit,0,2145,2844,0.000200441
mirror,0,2145,2844,0.000200441
school,3,2145,2844,0.000801764
couple,1,2145,2844,0.000400882
kid,4,2145,2844,0.001002205
hardware,0,2145,2844,0.000200441
promise,3,2145,2844,0.000801764
freak,4,2145,2844,0.001002205
past,2,2145,2844,0.000601323
away,0,2145,2844,0.000200441
follow,29,2145,2844,0.006013229
growth,1,2145,2844,0.000400882
area,0,2145,2844,0.000200441
msg,0,2145,2844,0.000200441
tomorrow,5,2145,2844,0.001202646
reserve,0,2145,2844,0.000200441
imminent,2,2145,2844,0.000601323
sold,0,2145,2844,0.000200441
overwhelm,0,2145,2844,0.000200441
reaction,0,2145,2844,0.000200441
death,0,2145,2844,0.000200441
telegraph,0,2145,2844,0.000200441
insert,0,2145,2844,0.000200441
all-time,0,2145,2844,0.000200441
high,0,2145,2844,0.000200441
hang,1,2145,2844,0.000400882
tacoma,0,2145,2844,0.000200441
beatle,0,2145,2844,0.000200441
front,0,2145,2844,0.000200441
shirt,2,2145,2844,0.000601323
reunion,0,2145,2844,0.000200441
tighten,0,2145,2844,0.000200441
pro,0,2145,2844,0.000200441
jacob,0,2145,2844,0.000200441
notify,0,2145,2844,0.000200441
clown,0,2145,2844,0.000200441
spin,0,2145,2844,0.000200441
wheel,0,2145,2844,0.000200441
reinvent,0,2145,2844,0.000200441
lookup,0,2145,2844,0.000200441
easiest,0,2145,2844,0.000200441
brady,0,2145,2844,0.000200441
surpris,2,2145,2844,0.000601323
mark,1,2145,2844,0.000400882
comparison,0,2145,2844,0.000200441
segregate,0,2145,2844,0.000200441
internode,0,2145,2844,0.000200441
piracy,0,2145,2844,0.000200441
mainly,0,2145,2844,0.000200441
platform,0,2145,2844,0.000200441
obscure,0,2145,2844,0.000200441
infamou,0,2145,2844,0.000200441
hall,0,2145,2844,0.000200441
pass,0,2145,2844,0.000200441
nookie,0,2145,2844,0.000200441
joel,0,2145,2844,0.000200441
circumstance,0,2145,2844,0.000200441
suffer,0,2145,2844,0.000200441
period,1,2145,2844,0.000400882
goodwill,0,2145,2844,0.000200441
paul,0,2145,2844,0.000200441
chat,0,2145,2844,0.000200441
advisor,0,2145,2844,0.000200441
tribute,0,2145,2844,0.000200441
faulty,0,2145,2844,0.000200441
gain,10,2145,2844,0.002204851
advertis,1,2145,2844,0.000400882
balloon,0,2145,2844,0.000200441
respect,0,2145,2844,0.000200441
alternative,0,2145,2844,0.000200441
india,0,2145,2844,0.000200441
squad,0,2145,2844,0.000200441
peep,0,2145,2844,0.000200441
algorithm,2,2145,2844,0.000601323
shrewd,0,2145,2844,0.000200441
root,0,2145,2844,0.000200441
horse,0,2145,2844,0.000200441
flower,0,2145,2844,0.000200441
shower,0,2145,2844,0.000200441
beg,0,2145,2844,0.000200441
valuable,0,2145,2844,0.000200441
analysi,0,2145,2844,0.000200441
trend,6,2145,2844,0.001403087
profit,0,2145,2844,0.000200441
proud,0,2145,2844,0.000200441
predict,1,2145,2844,0.000400882
stage,0,2145,2844,0.000200441
september,0,2145,2844,0.000200441
head,0,2145,2844,0.000200441
detail,0,2145,2844,0.000200441
auto,0,2145,2844,0.000200441
renewal,0,2145,2844,0.000200441
settle,0,2145,2844,0.000200441
content,1,2145,2844,0.000400882
coffer,0,2145,2844,0.000200441
hit,0,2145,2844,0.000200441
smart,0,2145,2844,0.000200441
engage,1,2145,2844,0.000400882
partner,0,2145,2844,0.000200441
social,5,2145,2844,0.001202646
activity,0,2145,2844,0.000200441
messag,0,2145,2844,0.000200441
kinda,0,2145,2844,0.000200441
relevant,0,2145,2844,0.000200441
junkie,0,2145,2844,0.000200441
buri,0,2145,2844,0.000200441
ability,0,2145,2844,0.000200441
inconvenient,0,2145,2844,0.000200441
cofounder,0,2145,2844,0.000200441
stood,0,2145,2844,0.000200441
provide,0,2145,2844,0.000200441
chase,0,2145,2844,0.000200441
cream,0,2145,2844,0.000200441
sandwich,0,2145,2844,0.000200441
Yesss,0,2145,2844,0.000200441
situation,0,2145,2844,0.000200441
gulp,0,2145,2844,0.000200441
pack,0,2145,2844,0.000200441
session,0,2145,2844,0.000200441
indicator,0,2145,2844,0.000200441
management,0,2145,2844,0.000200441
entrepreneur,0,2145,2844,0.000200441
startup,0,2145,2844,0.000200441
bangla,0,2145,2844,0.000200441
bengali,0,2145,2844,0.000200441
galaxy,0,2145,2844,0.000200441
globally,0,2145,2844,0.000200441
traffic,1,2145,2844,0.000400882
gift,0,2145,2844,0.000200441
opinion,1,2145,2844,0.000400882
careful,0,2145,2844,0.000200441
chip,0,2145,2844,0.000200441
guarantee,0,2145,2844,0.000200441
failure,0,2145,2844,0.000200441
principal,0,2145,2844,0.000200441
global,0,2145,2844,0.000200441
player,1,2145,2844,0.000400882
active,0,2145,2844,0.000200441
kobo,0,2145,2844,0.000200441
underplay,0,2145,2844,0.000200441
invisible,0,2145,2844,0.000200441
hospital,0,2145,2844,0.000200441
single,2,2145,2844,0.000601323
mourn,0,2145,2844,0.000200441
dock,0,2145,2844,0.000200441
scroll,0,2145,2844,0.000200441
title,0,2145,2844,0.000200441
font,0,2145,2844,0.000200441
across,0,2145,2844,0.000200441
main,1,2145,2844,0.000400882
wayne,0,2145,2844,0.000200441
leav,0,2145,2844,0.000200441
correct,0,2145,2844,0.000200441
child,0,2145,2844,0.000200441
poorly,0,2145,2844,0.000200441
painless,0,2145,2844,0.000200441
choice,0,2145,2844,0.000200441
form,0,2145,2844,0.000200441
component,0,2145,2844,0.000200441
continue,0,2145,2844,0.000200441
bite,0,2145,2844,0.000200441
upcom,0,2145,2844,0.000200441
afro-american,0,2145,2844,0.000200441
emoticon,0,2145,2844,0.000200441
angry,0,2145,2844,0.000200441
omission,0,2145,2844,0.000200441
advanc,0,2145,2844,0.000200441
printer,0,2145,2844,0.000200441
mighty,0,2145,2844,0.000200441
alcohol,0,2145,2844,0.000200441
act,3,2145,2844,0.000801764
timeline,2,2145,2844,0.000601323
history,0,2145,2844,0.000200441
challeng,0,2145,2844,0.000200441
possibly,1,2145,2844,0.000400882
accessori,0,2145,2844,0.000200441
policy,0,2145,2844,0.000200441
intellectual,0,2145,2844,0.000200441
property,0,2145,2844,0.000200441
infringement,0,2145,2844,0.000200441
claim,0,2145,2844,0.000200441
unauthorize,0,2145,2844,0.000200441
likely,0,2145,2844,0.000200441
suit,0,2145,2844,0.000200441
accus,0,2145,2844,0.000200441
roar,0,2145,2844,0.000200441
unveil,0,2145,2844,0.000200441
placement,0,2145,2844,0.000200441
effort,0,2145,2844,0.000200441
Yield,0,2145,2844,0.000200441
stock,0,2145,2844,0.000200441
promot,0,2145,2844,0.000200441
magazine,0,2145,2844,0.000200441
add,0,2145,2844,0.000200441
escort,0,2145,2844,0.000200441
legal,0,2145,2844,0.000200441
discovery,0,2145,2844,0.000200441
public,2,2145,2844,0.000601323
leopard,0,2145,2844,0.000200441
functionality,0,2145,2844,0.000200441
identity,0,2145,2844,0.000200441
logo,0,2145,2844,0.000200441
revis,0,2145,2844,0.000200441
doubt,0,2145,2844,0.000200441
enough,0,2145,2844,0.000200441
cope,0,2145,2844,0.000200441
defraud,0,2145,2844,0.000200441
win,0,2145,2844,0.000200441
salute,0,2145,2844,0.000200441
dog,0,2145,2844,0.000200441
earlier,0,2145,2844,0.000200441
upstair,0,2145,2844,0.000200441
soho,0,2145,2844,0.000200441
sudden,1,2145,2844,0.000400882
sprung,0,2145,2844,0.000200441
attention,1,2145,2844,0.000400882
digital,0,2145,2844,0.000200441
california,0,2145,2844,0.000200441
joseph,0,2145,2844,0.000200441
patiently,0,2145,2844,0.000200441
end,0,2145,2844,0.000200441
reply,1,2145,2844,0.000400882
insist,0,2145,2844,0.000200441
favorite,2,2145,2844,0.000601323
color,0,2145,2844,0.000200441
average,0,2145,2844,0.000200441
speed,0,2145,2844,0.000200441
swallow,0,2145,2844,0.000200441
python,0,2145,2844,0.000200441
denounce,0,2145,2844,0.000200441
nuance,0,2145,2844,0.000200441
cheap,0,2145,2844,0.000200441
improvement,0,2145,2844,0.000200441
